office,district,candidate,party,reporting_level,jurisdiction,vote_type,votes
President/Vice President,,Total,,county,Humboldt,,5033
President/Vice President,,Total,,county,Ida,,3590
President/Vice President,,Total,,county,Iowa,,8789
President/Vice President,,Total,,county,Jackson,,10204
President/Vice President,,Total,,county,Jasper,,18776
President/Vice President,,Total,,county,Jefferson,,8001
President/Vice President,,Total,,county,Johnson,,75637
President/Vice President,,Total,,county,Jones,,10011
President/Vice President,,Total,,county,Keokuk,,4858
President/Vice President,,Total,,county,Kossuth,,8505
President/Vice President,,Total,,county,Lee,,15893
President/Vice President,,Total,,county,Linn,,114664
President/Vice President,,Total,,county,Louisa,,4943
President/Vice President,,Total,,county,Lucas,,4297
President/Vice President,,Total,,county,Lyon,,6336
President/Vice President,,Total,,county,Madison,,8523
President/Vice President,,Total,,county,Mahaska,,10494
President/Vice President,,Total,,county,Marion,,17554
President/Vice President,,Total,,county,Marshall,,17700
President/Vice President,,Total,,county,Mills,,7608
President/Vice President,,Total,,county,Mitchell,,5360
President/Vice President,,Total,,county,Monona,,4525
President/Vice President,,Total,,county,Monroe,,3844
President/Vice President,,Total,,county,Montgomery,,4998
President/Vice President,,Total,,county,Muscatine,,19086
President/Vice President,,Total,,county,O'Brien,,7348
President/Vice President,,Total,,county,Osceola,,3197
President/Vice President,,Total,,county,Page,,6968
President/Vice President,,Total,,county,Palo Alto,,4674
President/Vice President,,Total,,county,Plymouth,,13057
President/Vice President,,Total,,county,Pocahontas,,3831
President/Vice President,,Total,,county,Polk,,228420
President/Vice President,,Total,,county,Pottawattamie,,42226
President/Vice President,,Total,,county,Poweshiek,,9693
President/Vice President,,Total,,county,Ringgold,,2684
President/Vice President,,Total,,county,Sac,,5158
President/Vice President,,Total,,county,Scott,,84878
President/Vice President,,Total,,county,Shelby,,6270
President/Vice President,,Total,,county,Sioux,,17989
President/Vice President,,Total,,county,Story,,48910
President/Vice President,,Total,,county,Tama,,8636
President/Vice President,,Total,,county,Taylor,,3003
President/Vice President,,Total,,county,Union,,5768
President/Vice President,,Total,,county,Van Buren,,3526
President/Vice President,,Total,,county,Wapello,,14996
President/Vice President,,Total,,county,Warren,,26916
President/Vice President,,Total,,county,Washington,,10824
President/Vice President,,Total,,county,Wayne,,2921
President/Vice President,,Total,,county,Webster,,17239
President/Vice President,,Total,,county,Winnebago,,5717
President/Vice President,,Total,,county,Winneshiek,,11217
President/Vice President,,Total,,county,Woodbury,,42933
President/Vice President,,Total,,county,Worth,,4216
President/Vice President,,Total,,county,Wright,,5949
